2021,1,13,12,67
2021,1,13,13,-345
2021,1,13,14,-721
2021,1,13,15,-948
2021,1,13,16,-1010
2021,1,13,17,-905
2021,1,13,18,-678
2021,1,13,19,-430
2021,1,13,20,-103
2021,1,13,21,151
2021,1,13,22,313
2021,1,13,23,277
2021,1,14,0,157
2021,1,14,1,-36
2021,1,14,2,-310
2021,1,14,3,-469
2021,1,14,4,-501
2021,1,14,5,-350
2021,1,14,6,-120
2021,1,14,7,166
2021,1,14,8,427
2021,1,14,9,643
2021,1,14,10,734
2021,1,14,11,631
2021,1,14,12,374
2021,1,14,13,-1
2021,1,14,14,-445
2021,1,14,15,-752
2021,1,14,16,-966
2021,1,14,17,-930
2021,1,14,18,-772
2021,1,14,19,-561
2021,1,14,20,-314
2021,1,14,21,14
2021,1,14,22,234
2021,1,14,23,368
2021,1,15,0,310
2021,1,15,1,146
2021,1,15,2,-100
2021,1,15,3,-363
2021,1,15,4,-482
2021,1,15,5,-507
2021,1,15,6,-291
2021,1,15,7,-103
2021,1,15,8,204
2021,1,15,9,453
2021,1,15,10,652
2021,1,15,11,697
2021,1,15,12,528
2021,1,15,13,247
2021,1,15,14,-121
2021,1,15,15,-499
2021,1,15,16,-846
2021,1,15,17,-961
2021,1,15,18,-910
2021,1,15,19,-766
2021,1,15,20,-556
2021,1,15,21,-247
2021,1,15,22,-14
2021,1,15,23,236
2021,1,16,0,232
2021,1,16,1,179
2021,1,16,2,22
2021,1,16,3,-292
2021,1,16,4,-491
2021,1,16,5,-579
2021,1,16,6,-556
2021,1,16,7,-330
2021,1,16,8,-75
2021,1,16,9,193
2021,1,16,10,451
2021,1,16,11,544
2021,1,16,12,567
2021,1,16,13,398
2021,1,16,14,127
2021,1,16,15,-202
2021,1,16,16,-566
2021,1,16,17,-824
2021,1,16,18,-895
2021,1,16,19,-794
2021,1,16,20,-610
2021,1,16,21,-394
2021,1,16,22,-120
2021,1,16,23,88
2021,1,17,0,270
2021,1,17,1,275
2021,1,17,2,175
2021,1,17,3,-50
2021,1,17,4,-209
2021,1,17,5,-443
2021,1,17,6,-521
2021,1,17,7,-378
2021,1,17,8,-228
2021,1,17,9,74
2021,1,17,10,318
2021,1,17,11,492
2021,1,17,12,606
2021,1,17,13,588
2021,1,17,14,382
2021,1,17,15,153
2021,1,17,16,-182
2021,1,17,17,-474
2021,1,17,18,-629
2021,1,17,19,-614
2021,1,17,20,-496
2021,1,17,21,-386
2021,1,17,22,-168
2021,1,17,23,85
2021,1,18,0,231
2021,1,18,1,291
2021,1,18,2,376
2021,1,18,3,146
2021,1,18,4,-37
2021,1,18,5,-188
2021,1,18,6,-345
2021,1,18,7,-414
2021,1,18,8,-230
2021,1,18,9,-16
2021,1,18,10,135
2021,1,18,11,393
2021,1,18,12,529
2021,1,18,13,572
2021,1,18,14,514
2021,1,18,15,337
2021,1,18,16,114
2021,1,18,17,-188
2021,1,18,18,-385
2021,1,18,19,-525
2021,1,18,20,-469
2021,1,18,21,-384
2021,1,18,22,-299
2021,1,18,23,-40
2021,1,19,0,104
2021,1,19,1,277
2021,1,19,2,301
2021,1,19,3,170
2021,1,19,4,15
2021,1,19,5,-213
2021,1,19,6,-345
2021,1,19,7,-476
2021,1,19,8,-419
2021,1,19,9,-352
2021,1,19,10,-177
2021,1,19,11,34
2021,1,19,12,141
2021,1,19,13,299
2021,1,19,14,278
2021,1,19,15,263
2021,1,19,16,110
2021,1,19,17,-140
2021,1,19,18,-330
2021,1,19,19,-457
2021,1,19,20,-571
2021,1,19,21,-494
2021,1,19,22,-376
2021,1,19,23,-239
2021,1,20,0,-72
2021,1,20,1,29
2021,1,20,2,120
2021,1,20,3,98
2021,1,20,4,24
2021,1,20,5,-139
2021,1,20,6,-259
2021,1,20,7,-429
2021,1,20,8,-500
2021,1,20,9,-431
2021,1,20,10,-314
2021,1,20,11,-189
2021,1,20,12,-80
2021,1,20,13,123
2021,1,20,14,166
2021,1,20,15,240
2021,1,20,16,164
2021,1,20,17,37
2021,1,20,18,-141
2021,1,20,19,-256
2021,1,20,20,-398
2021,1,20,21,-381
2021,1,20,22,-349
2021,1,20,23,-244
2021,1,21,0,-107
2021,1,21,1,97
2021,1,21,2,141
2021,1,21,3,183
2021,1,21,4,171
2021,1,21,5,57
2021,1,21,6,-52
2021,1,21,7,-168
2021,1,21,8,-330
2021,1,21,9,-282
2021,1,21,10,-309
2021,1,21,11,-257
2021,1,21,12,-158
2021,1,21,13,-73
2021,1,21,14,47
2021,1,21,15,125
2021,1,21,16,126
2021,1,21,17,86
2021,1,21,18,-10
2021,1,21,19,-106
2021,1,21,20,-215
2021,1,21,21,-320
2021,1,21,22,-268
2021,1,21,23,-254
2021,1,22,0,-155
2021,1,22,1,27
2021,1,22,2,88
2021,1,22,3,114
2021,1,22,4,164
2021,1,22,5,108
2021,1,22,6,36
2021,1,22,7,-19
2021,1,22,8,-172
2021,1,22,9,-257
2021,1,22,10,-325
2021,1,22,11,-309
2021,1,22,12,-218
2021,1,22,13,-189
2021,1,22,14,-143
2021,1,22,15,-10
2021,1,22,16,81
2021,1,22,17,35
2021,1,22,18,126
2021,1,22,19,26
2021,1,22,20,-102
2021,1,22,21,-164
2021,1,22,22,-224
2021,1,22,23,-190
2021,1,23,0,-108
2021,1,23,1,22
2021,1,23,2,48
2021,1,23,3,155
2021,1,23,4,195
2021,1,23,5,217
2021,1,23,6,238
2021,1,23,7,227
2021,1,23,8,7
2021,1,23,9,-271
2021,1,23,10,-244
2021,1,23,11,-341
2021,1,23,12,-382
