,M2,S2,N2,K2,K1,O1,P1
2022-10-21 00:00:00,0.9735214507215926,1.0,0.9735214507215926,1.2301975509807654,1.0881026415290107,1.1422345305528536,1.0
2022-10-21 00:05:00,0.97352136864358,1.0,0.97352136864358,1.2301982308429489,1.088102845826693,1.142234864275254,1.0
2022-10-21 00:10:00,0.9735212865658435,1.0,0.9735212865658435,1.2301989107029343,1.088103050123565,1.1422351979963532,1.0
2022-10-21 00:15:00,0.973521204488383,1.0,0.973521204488383,1.2301995905607193,1.0881032544196259,1.1422355317161497,1.0
2022-10-21 00:20:00,0.9735211224111988,1.0,0.9735211224111988,1.2302002704163018,1.0881034587148752,1.1422358654346425,1.0
2022-10-21 00:25:00,0.9735210403342909,1.0,0.9735210403342909,1.2302009502696856,1.0881036630093142,1.1422361991518337,1.0
2022-10-21 00:30:00,0.9735209582576587,1.0,0.9735209582576587,1.2302016301208687,1.0881038673029417,1.1422365328677218,1.0
2022-10-21 00:35:00,0.9735208761813022,1.0,0.9735208761813022,1.2302023099698536,1.088104071595759,1.1422368665823082,1.0
2022-10-21 00:40:00,0.9735207941052219,1.0,0.9735207941052219,1.2302029898166393,1.088104275887766,1.142237200295593,1.0
2022-10-21 00:45:00,0.9735207120294183,1.0,0.9735207120294183,1.2302036696612224,1.088104480178961,1.1422375340075737,1.0
2022-10-21 00:50:00,0.9735206299538903,1.0,0.9735206299538903,1.2302043495036061,1.0881046844693454,1.1422378677182523,1.0
2022-10-21 00:55:00,0.9735205478786383,1.0,0.9735205478786383,1.2302050293437907,1.088104888758919,1.142238201427629,1.0
2022-10-21 01:00:00,0.9735204658036624,1.0,0.9735204658036624,1.2302057091817764,1.0881050930476823,1.142238535135704,1.0
2022-10-21 01:05:00,0.9735203837289624,1.0,0.9735203837289624,1.2302063890175592,1.0881052973356338,1.1422388688424747,1.0
2022-10-21 01:10:00,0.9735203016545387,1.0,0.9735203016545387,1.2302070688511426,1.0881055016227745,1.1422392025479435,1.0
2022-10-21 01:15:00,0.9735202195803913,1.0,0.9735202195803913,1.2302077486825258,1.0881057059091046,1.14223953625211,1.0
2022-10-21 01:20:00,0.9735201375065194,1.0,0.9735201375065194,1.2302084285117103,1.088105910194624,1.1422398699549743,1.0
2022-10-21 01:25:00,0.9735200554329241,1.0,0.9735200554329241,1.230209108338692,1.0881061144793316,1.142240203656535,1.0
