,M2,S2,N2,K2,K1,O1,P1
2022-10-21 00:00:00,1.770758006937088,1.9774404336203588e-11,4.09587461375232,0.8246661778033939,5.129576329922504,2.96385183259351,1.057147818625412
2022-10-21 00:05:00,1.8129137637175194,0.043633231214464274,4.137238609576876,0.8684195857803143,5.151453025640155,2.9841307418258167,1.0789047023073812
2022-10-21 00:10:00,1.8550695207267385,0.08726646264198479,4.178602605628184,0.9121729939914989,5.173329721474793,3.0044096511697522,1.1006615861058924
2022-10-21 00:15:00,1.8972252776243863,0.13089969395308998,4.219966601569951,0.9559264020884548,5.19520641725217,3.0246885604592024,1.1224184698459427
2022-10-21 00:20:00,1.939381034526118,0.17453292526419517,4.261330597517853,0.9996798101868407,5.2170831130301165,3.044967469751997,1.1441753535861197
2022-10-21 00:25:00,1.9815367913112016,0.21816615645888504,4.302694593349074,1.0434332181699837,5.238959808750296,3.0652463789857336,1.1659322372683425
2022-10-21 00:30:00,2.0236925482094197,0.26179938776999023,4.344058589291411,1.087186626271734,5.2608365045296335,3.085525288273274,1.1876891210085199
2022-10-21 00:35:00,2.0658483051081653,0.3054326190810954,4.385422585234277,1.1309400343754206,5.282713200309794,3.1058041975603463,1.2094460047485698
2022-10-21 00:40:00,2.1080040621236016,0.34906585050861594,4.42678658129385,1.1746934425972064,5.304589896148857,3.12608310690503,1.2312028885468274
2022-10-21 00:45:00,2.1501598189097795,0.3926990817033058,4.468150577126169,1.2184468505870782,5.326466591871818,3.1463620161363886,1.2529597722290506
2022-10-21 00:50:00,2.1923155758090953,0.436332313014411,4.509514573069621,1.2622002586955592,5.348343287653938,3.1666409254215506,1.2747166559692276
2022-10-21 00:55:00,2.234471332708937,0.4799655443255162,4.550878569013582,1.3059536668059764,5.37021998343688,3.1869198347062433,1.2964735397092775
2022-10-21 01:00:00,2.276627089724961,0.5235987757530367,4.592242565073745,1.3497070750339812,5.39209667927847,3.207198744048296,1.318230423507789
2022-10-21 01:05:00,2.3187828465086824,0.5672320069477266,4.633606560901569,1.39346048303109,5.413973375004467,3.227477653273465,1.3399873071897583
2022-10-21 01:10:00,2.3609386034131568,0.6108652382588318,4.67497055685218,1.4372138911462997,5.435850070789368,3.247756562560312,1.3617441909299353
2022-10-21 01:15:00,2.4030943602009813,0.6544984694535216,4.716334552686158,1.4809672991462648,5.457726766516502,3.268035471788102,1.383501074612159
2022-10-21 01:20:00,2.4452501172186114,0.6981317008810421,4.757698548747923,1.5247207073815083,5.479603462361129,3.2883143811280293,1.4052579584104166
2022-10-21 01:25:00,2.4874058741119693,0.7417649321921473,4.799062544681357,1.5684741155020152,5.501480158148242,3.3085932904010287,1.4270148421504665
2022-10-21 01:30:00,2.5295616310172875,0.7853981635032525,4.840426540632812,1.6122275236236998,5.5233568539357965,3.32887219968537,1.4487717258907704
2022-10-21 01:35:00,2.571717387806464,0.8290313946979424,4.88179053646814,1.6559809316306495,5.54523354966584,3.349151108910909,1.4705286095728667
2022-10-21 01:40:00,2.613873144708773,0.8726646260090476,4.923154532414571,1.6997343397562066,5.567110245455041,3.3694300181902506,1.4922854933129166
2022-10-21 01:45:00,2.656028901723708,0.9162978574365681,4.964518528471613,1.7434877479998612,5.588986941303144,3.3897089275231402,1.5140423771111746
2022-10-21 01:50:00,2.698184658513455,0.959931088631258,5.005882524307509,1.7872411560116035,5.610863637035147,3.409987836746769,1.5357992607933975
2022-10-21 01:55:00,2.7403404154203983,1.0035643199423632,5.047246520260591,1.8309945641419514,5.632740332826305,3.430266746028264,1.5575561445335744
2022-10-21 02:00:00,2.782496172323297,1.0471975512534684,5.088610516207609,1.8747479722737275,5.654617028618033,3.4505456553049734,1.5793130282738783
2022-10-21 02:05:00,2.8246519292269774,1.0908307825645736,5.129974512155412,1.9185013804076974,5.676493724410711,3.470824564581341,1.6010699120139287
2022-10-21 02:10:00,2.866807686018074,1.1344640137592634,5.171338507992662,1.9622547884264225,5.698370420145621,3.4911034738027187,1.6228267956960245
2022-10-21 02:15:00,2.9089634429258577,1.1780972450703686,5.212702503946582,2.0060081965632452,5.7202471159394355,3.5113823830817075,1.6445836794363284
2022-10-21 02:20:00,2.9511191998301065,1.2217304763814738,5.254066499894968,2.049761604702004,5.742123811734071,3.5316612923561657,1.6663405631765054
2022-10-21 02:25:00,2.9932749567346324,1.265363707692579,5.295430495843615,2.093515012842447,5.764000507529404,3.551940201630029,1.6880974469166823
2022-10-21 02:30:00,3.035430713639684,1.3089969390036842,5.336794491792801,2.1372684209848263,5.785877203325558,3.572219110903423,1.7098543306567326
2022-10-21 02:35:00,3.077586470544503,1.3526301703147894,5.378158487741727,2.1810218291283743,5.807753899122152,3.592498020175972,1.731611214397037
2022-10-21 02:40:00,3.119742227337495,1.3962634015094793,5.419522483580874,2.2247752371574467,5.829630594861362,3.612776929393908,1.7533680980790063
2022-10-21 02:45:00,3.161897984242861,1.4398966328205844,5.460886479530345,2.2685286453043627,5.851507290659347,3.6330558386652654,1.7751249818193102
2022-10-21 02:50:00,3.2040537411487584,1.4835298641316896,5.502250475480379,2.3122820534532167,5.8733839864581565,3.6533347479361558,1.7968818655594871
2022-10-21 02:55:00,3.2462094981675307,1.5271630955592101,5.543614471541256,2.356035461720422,5.895260682315996,3.6736136572607214,1.8186387493577447
2022-10-21 03:00:00,3.28836525496137,1.5707963267539,5.58497846738123,2.3997888697559695,5.91713737805786,3.693892566476152,1.840395633039841
2022-10-21 03:05:00,3.3305210118718964,1.6144295580650052,5.626342463337911,2.4435422779096143,5.939014073858627,3.714171475749196,1.862152516780145
